Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",103.42,$31.93B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,14.67,$2.73B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AACG,ATA Creativity Global,1.13,$35.86M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/aacg
AACQU,Artius Acquisition Inc.,10.2,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/aacqu
AAL,"American Airlines Group, Inc.",13.23,$6.73B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal
AAMC,Altisource Asset Management Corp,21.9564,$35.84M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AAME,Atlantic American Corporation,2.0288,$41.5M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aame
AAN,"Aaron&#39;s,  Inc.",57.42,$3.86B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAOI,"Applied Optoelectronics, Inc.",12.63,$287.64M,2013,Technology,Semiconductors,https://old.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",57.79,$3.02B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
AAP,Advance Auto Parts Inc,158.1,$10.93B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAPL,Apple Inc.,131.4,$8989.09B,1980,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl
AAT,"American Assets Trust, Inc.",25.76,$1.55B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AAU,"Almaden Minerals, Ltd.",0.6886,$82.88M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
AAWW,Atlas Air Worldwide Holdings,57.04,$1.49B,n/a,Transportation,Transportation Services,https://old.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,79.07,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",88.13,$5.59B,n/a,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/aaxn
AB,AllianceBernstein Holding L.P.,28.91,$2.78B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,25.85,$55.02B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,93.95,$165.81B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),98.29,$20.07B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABCB,Ameris Bancorp,24.66,$1.71B,1994,Finance,Major Banks,https://old.nasdaq.com/symbol/abcb
ABEO,Abeona Therapeutics Inc.,2.16,$183.12M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABEV,Ambev S.A.,2.38,$37.44B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,109.67,$2.12B,2002,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABIO,"ARCA biopharma, Inc.",5.09,$30.06M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/abio
